time,animal,pellets,motorTurns,battery,delay,protocol
1663769390,417,01,01,04,01,baseline
1663769402,417,02,04,04,01,baseline
1663769412,417,03,04,04,01,baseline
1663769420,417,04,02,04,01,baseline
1663769427,417,05,02,04,01,baseline
1663799019,417,06,11626,04,01,baseline
1663799071,417,07,19,04,01,baseline
1663799074,417,08,01,04,01,baseline
1663799082,417,09,02,04,01,baseline
1663799087,417,10,01,04,01,baseline
1663799091,417,11,02,04,01,baseline
1663799096,417,12,02,04,01,baseline
1663799105,417,13,03,04,01,baseline
1663799135,417,14,12,04,01,baseline
1663799140,417,15,01,04,01,baseline
1663799144,417,16,02,04,01,baseline
1663799152,417,17,02,04,01,baseline
1663799185,417,18,14,04,01,baseline
1663799192,417,19,03,04,01,baseline
1663799195,417,20,01,04,01,baseline
1663799205,417,21,03,04,01,baseline
1663799209,417,22,01,04,01,baseline
1663799371,417,23,63,04,01,baseline
1663799509,417,24,54,04,01,baseline
1663799519,417,25,03,04,01,baseline
1663799524,417,26,01,04,01,baseline
1663801449,417,27,749,04,01,baseline
1663802177,417,28,283,04,01,baseline
1663802384,417,29,80,04,01,baseline
1663812580,417,30,941,04,01,baseline
1663812596,417,31,00,04,01,baseline
1663814292,417,32,00,04,01,baseline
1663814298,417,33,00,04,01,baseline
1663814588,417,34,00,04,01,baseline
1663814607,417,35,00,04,01,baseline
1663814615,417,36,00,04,01,baseline
1663814622,417,37,00,04,01,baseline
1663814638,417,38,00,04,01,baseline
1663814642,417,39,00,04,01,baseline
1663814755,417,40,00,04,01,baseline
1663846596,417,41,00,04,01,baseline
1663846605,417,42,00,04,01,baseline
1663848003,417,43,00,04,01,baseline
1663875314,417,44,10796,04,01,baseline
1663884278,417,45,3503,04,01,baseline
1663890308,417,46,2345,04,01,baseline
1663898127,417,47,349,04,01,baseline
1663899402,417,48,00,04,01,baseline
1663899490,417,49,00,04,01,baseline
1663899848,417,50,00,04,01,baseline
1663902416,417,51,00,04,01,baseline
1663903317,417,52,00,04,01,baseline
1663921267,417,53,00,04,01,baseline
1663927013,417,54,00,04,01,baseline
1663932066,417,55,00,04,01,baseline
1663933719,417,56,00,04,01,baseline
1663933725,417,57,00,04,01,baseline
1663934409,417,58,00,04,01,baseline
1663954247,417,59,7862,03,01,baseline
1663954452,417,60,81,03,01,baseline
1663978112,417,61,9051,03,01,baseline
1663981072,417,62,00,03,01,baseline
1663984032,417,63,00,03,01,baseline
1663984067,417,64,00,03,01,baseline
1663984072,417,65,00,03,01,baseline
1663984076,417,66,00,03,01,baseline
1663984079,417,67,00,03,01,baseline
1663984191,417,68,00,03,01,baseline
1663986927,417,69,00,03,01,baseline
1663987169,417,70,00,03,01,baseline
1663987176,417,71,00,03,01,baseline
1663987213,417,72,00,03,01,baseline
1663987216,417,73,00,03,01,baseline
1663987227,417,74,00,03,01,baseline
1663987236,417,75,00,03,01,baseline
1663988946,417,76,00,03,01,baseline
1663989163,417,77,00,03,01,baseline
1664020804,417,78,00,03,01,baseline
1664021830,417,79,409,03,01,baseline
1664022621,417,80,315,03,01,baseline
1664022718,417,81,39,03,01,baseline
1664023645,417,82,369,03,01,baseline
1664023768,417,83,49,03,01,baseline
