time,animal,pellets,motorTurns,battery,delay,protocol
1663769046,418,01,01,04,01,baseline
1663769061,418,02,07,04,01,baseline
1663769070,418,03,05,04,01,baseline
1663769075,418,04,02,04,01,baseline
1663769077,418,05,01,04,01,baseline
1663769079,418,06,01,04,01,baseline
1663769082,418,07,01,04,01,baseline
1663769084,418,08,01,04,01,baseline
1663769086,418,09,01,04,01,baseline
1663769089,418,10,01,04,01,baseline
1663769133,418,01,01,04,01,baseline
1663769142,418,02,05,04,01,baseline
1663848001,418,03,13957,04,01,baseline
1663934402,418,04,16957,04,01,baseline
1663973620,418,05,15416,04,01,baseline
1663973744,418,06,49,04,01,baseline
1663973933,418,07,74,04,01,baseline
1663974000,418,08,27,04,01,baseline
1663974125,418,09,50,04,01,baseline
1663974279,418,10,61,04,01,baseline
1663975549,418,11,494,04,01,baseline
1663976245,418,12,271,04,01,baseline
1663976351,418,13,42,04,01,baseline
1663976518,418,14,66,04,01,baseline
1663977121,418,15,235,04,01,baseline
1664020802,418,16,188,04,01,baseline
1664022320,418,17,605,04,01,baseline
1664022380,418,18,25,04,01,baseline
1664022449,418,19,29,04,01,baseline
1664022517,418,20,28,04,01,baseline
1664022571,418,21,23,04,01,baseline
1664022863,418,22,117,04,01,baseline
1664023851,418,23,394,04,01,baseline
1664024246,418,01,01,04,15,baseline
1664024281,418,02,09,04,15,baseline
1664024688,418,03,157,04,15,baseline
1664029558,418,04,1927,04,15,baseline
1664029800,418,05,91,04,15,baseline
1664029906,418,06,37,04,15,baseline
1664033134,418,07,1272,04,15,baseline
1664033216,418,08,28,04,15,baseline
1664033284,418,09,22,04,15,baseline
1664036557,418,10,1287,04,15,baseline
1664036604,418,11,14,04,15,baseline
1664036656,418,12,16,04,15,baseline
1664036781,418,13,45,04,15,baseline
1664036814,418,14,08,04,15,baseline
1664036856,418,15,12,04,15,baseline
1664043145,418,16,2469,04,15,baseline
1664043182,418,17,10,04,15,baseline
1664046908,418,18,1456,04,15,baseline
1664046943,418,19,09,04,15,baseline
1664046995,418,20,16,04,15,baseline
1664047487,418,21,188,04,15,baseline
1664047936,418,22,171,04,15,baseline
